addressinfo,county,enforcement_action,enforcement_action_no,enforcement_action_issued,case_closed,media,program,upload_id,city,state,zip,ai_combined
County Wide Sewerage System,Baltimore,Stipulated Penalty,SP-14-2074,2014-04-01T00:00:00.000,2014-04-27T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31394 - Baltimore County Sanitary Sewer Overflows
9021 Arden Station Rd,Somerset,Settlement Agreement,Patrick Noyes,2018-11-08T00:00:00.000,2018-11-21T00:00:00.000,Non-Tidal Wetlands;Sediment;Surface Water Discharge Permit,Notice of Intent (Construction),,Princess Anne,MD,21853,155448 - Solar Photovoltaic Power Plant Site #3
multiple locations,Charles,Penalty Settlement,Patrick Noyes,2015-12-04T00:00:00.000,2015-12-15T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Indian Head,MD,20640,150933 - Town of Indian Head Collection System
6375 Static St,Harford,Consent Order,CO-12-1566,2012-01-18T00:00:00.000,2015-10-20T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Aberdeen Proving Ground,MD,21005,23448 - Aberdeen Area Wastewater Treatment Plant
5815 Arbor Street,Prince George's,,,,2012-02-01T00:00:00.000,Not Assigned,,,Tuxedo,MD,20781,131388 - Jims Air Compressor Inc
2630 Hoopers Island Rd,Dorchester,Consent Order,CA-19-2577,2019-01-22T00:00:00.000,2023-05-08T00:00:00.000,Tidal Wetlands,,,Fishing Creek,MD,21634,157977 - Edward & Jeannette Lucas
3714 Gardendale Drive,Wicomico,,SA-12-1707,,2013-07-18T00:00:00.000,Not Applicable,,,Eden,MD,21822,135871 - NTW vegetation disturbance and removal
800 Tydings Lane,Harford,Settlement Agreement and Consent Order,CO-19-2580,2019-03-01T00:00:00.000,2022-05-20T00:00:00.000,Groundwater Discharge Permit,Municipal Minor,,Havre De Grace,MD,21078,503 - Father Martin's Ashley
3010 Ridgewood Ave,Baltimore City,Consent Decree,CJ-21-2692,2021-01-31T00:00:00.000,2023-01-13T00:00:00.000,Sediment;Stormwater Management,Industrial Minor,,Baltimore City,MD,21215,"42398 - P & J Contracting Company, Inc"
County Wide Sewerage System,Kent,Penalty Settlement,"Bull, Kevin",2011-08-10T00:00:00.000,2016-09-23T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31411 - Kent County Sanitary Sewer Overflows
12793 Folly Quarter Rd,Howard,Consent Order,CO-16-2394,2016-04-28T00:00:00.000,2019-11-06T00:00:00.000,Groundwater Discharge Permit,Municipal Minor,,Ellicott City,MD,21042,19730 - Glenelg Country School
9225 Twinberry Drive,Charles,Consent Order,CO-15-2151,2014-09-25T00:00:00.000,2015-09-28T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Bel Alton,MD,20611,23637 - Bel Alton WWTP
TUCKER RD,Prince George's,Complaint & Penalty,SAP-14-2042,2013-07-22T00:00:00.000,2014-01-27T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Oxon Hill,MD,20745,"128846 - Birdlawn Llc/rd Xings, Swm Pond  And"
6600 Crain Hwy,Prince George's,Consent Order,CO-14-2048,2013-12-23T00:00:00.000,2017-01-18T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Upper Marlboro,MD,20772,5034 - WSSC Western Branch WRRF
91 Johnstown Road,Cecil,Consent Order,CO-14-1983,2013-05-02T00:00:00.000,2022-05-10T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Elkton,MD,21921,21037 - Ceco Utilities WWTP
1091 Marlboro Rd,Anne Arundel,Settlement Agreement,SAP-11-1230,2010-11-15T00:00:00.000,2010-11-15T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Lothian,MD,20711,21831 - Boone's Mobile Estates WWTP
23750 Larney Nick Rd,Kent,Settlement Agreement and Consent Order,CO-15-2277,2015-06-24T00:00:00.000,2020-11-30T00:00:00.000,Groundwater Discharge Permit,Municipal Minor,,Chestertown,MD,21620,4162 - J Lawrence Nicholson Landfill
255 Lore Road,Calvert,Penalty Settlement,Arno Laud,2013-09-17T00:00:00.000,2013-09-18T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Solomons,MD,20688,104312 - Solomons Beacon Inn/bulkhead
7800 Kabik Ct.,Carroll,Settlement Agreement,Patrick Noyes,2013-03-22T00:00:00.000,2017-09-25T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,,Woodbine,MD,21797,"75852 - WeCare Denali, LLC"
wynfall ave,Somerset,Settlement Agreement,Arno Laud,2016-05-09T00:00:00.000,2016-06-02T00:00:00.000,Non-Tidal Wetlands;Sediment,Municipal Minor,,Crisfield,MD,21817,145901 - Wynfall Avenue
UPTON RD,Anne Arundel,Penalty Settlement,PS-14-1988,2013-09-03T00:00:00.000,2013-11-21T00:00:00.000,Non-Tidal Wetlands;Sediment,,,Severn,MD,21144,90947 - Aa Dpw/cayuga Farms Interceptor Sewer/
Mill Island Pkwy,Frederick,Penalty Settlement,C-16-2295,2015-07-28T00:00:00.000,2016-05-18T00:00:00.000,Notice of Intent;Sediment;Waterway Construction,Notice of Intent (Construction),,Frederick,MD,21701,66083 - Mill Island at Wormans Mill
3241 Holland Cliffs Rd,Calvert,Consent Order,AOP-14-1967,2014-02-28T00:00:00.000,2014-07-23T00:00:00.000,Tidal Wetlands,,,Huntingtown,MD,20639,79331 - Joseph Pagliaro
3542 Seaman Rd,Caroline,Settlement Agreement,SA-14-2024,2013-11-08T00:00:00.000,2013-12-24T00:00:00.000,Sediment,,,Preston,MD,21655,44639 - William L. Tarbutton
Auction Rd,Caroline,Penalty Settlement,PS-13-1878,2013-05-01T00:00:00.000,2013-04-09T00:00:00.000,Sediment,,,Federalsburg,MD,21632,139272 - Auction Rd Culvert Replacement
Thames & Wolfe Sts,Baltimore City,Penalty Settlement,,2012-08-14T00:00:00.000,2013-05-30T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Baltimore,MD,21231,84005 - Union Wharf
5200 Glen Arm Road,Baltimore,Stipulated Penalty,Patrick Noyes,2019-08-26T00:00:00.000,2019-11-15T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Glen Arm,MD,21057,134795 - United Container Acquisition Building Business Trust
MD Rte 213,Queen Anne's,Penalty Settlement,"Bull, Kevin",2015-06-30T00:00:00.000,2015-06-30T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Church Hill,MD,21623,23664 - Church Hill WWTP
56 N Liberty St,Allegany,Penalty Settlement,C-16-2347,2015-12-04T00:00:00.000,2015-12-23T00:00:00.000,Sediment,,,Cumberland,MD,21501,8596 - CITY OF CUMBERLAND
1000 Fairwinds Dr,Anne Arundel,Penalty Settlement,PS-15-2212,2015-02-05T00:00:00.000,2015-03-03T00:00:00.000,Tidal Wetlands,,,Annapolis,MD,21409,"7692 - Fairwinds Marina, LLC"
"Annpolis Towne Center, Whole Foods  Underground Parking Garage, Sommersville Rd",Anne Arundel,Penalty Settlement,Arno Laud,2013-05-15T00:00:00.000,2013-05-16T00:00:00.000,Surface Water Discharge Unauthorized,,,Annapolis,MD,21401,138391 - Annapolis Towne Center at Parole-Greenberg Gibbons
4455 Northwoods Trail,Carroll,Consent Decree,Jess Herpel,2006-08-06T00:00:00.000,2024-10-15T00:00:00.000,Surface Water Discharge Permit,,,Hampstead,MD,21074,11313 - Hampstead WWTP
County Wide Sewerage System,Allegany,Stipulated Penalty,SP-22-2811,2022-04-30T00:00:00.000,2024-09-12T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1596837'},County-wide,MD,0,31405 - Allegany County Sanitary Sewer Overflows
820 Bayfront Ave,Anne Arundel,Settlement Agreement,Arno Laud,2016-04-28T00:00:00.000,2016-05-10T00:00:00.000,Waterway Construction,Municipal Minor,,Holland Point,MD,20714,"92672 - Sisk, John Douglas/pier"
12550 Eagles Nest Rd,Worcester,Consent Order,COP-14-2065,2014-03-06T00:00:00.000,2014-07-01T00:00:00.000,Groundwater Discharge Permit;Groundwater Discharge Unauthorized,,,Berlin,MD,21811,22913 - Castaways RV Resort and Campground
County Wide Sewerage System,Howard,Penalty Settlement,Arno Laud,2014-11-13T00:00:00.000,2014-12-26T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31409 - Howard County Sanitary Sewer Overflows
3542 Seaman Rd,Caroline,Complaint & Penalty,AP-13-1933,2013-05-20T00:00:00.000,2013-12-24T00:00:00.000,Sediment,,,Preston,MD,21655,44639 - William L. Tarbutton
"8800 Greenbelt Rd, Bldg #  25",Prince George's,Settlement Agreement,SA-12-1700,2012-07-02T00:00:00.000,2012-07-09T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Greenbelt,MD,20771,135225 - NASA building 25 geothermal
200 Four Season Clubhouse Rd,Queen Anne's,Consent Order,SA-18-2534,2018-06-01T00:00:00.000,2018-06-07T00:00:00.000,Sediment;Stormwater Management,Industrial Stormwater,,Chester,MD,21619,68538 - Disson & Juhn Co
207 Kiley Drive,Wicomico,Required Confirmation,Jess Herpel,2020-02-13T00:00:00.000,2020-02-21T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,,Salisbury,MD,21801,"29808 - Jubilant Cadista Pharmaceuticals, Inc."
Bird River Grove Rd turn-around across from 11228 Bird River Grove Rd,Baltimore,Settlement Agreement,SAP-13-1940,2013-06-10T00:00:00.000,2013-07-03T00:00:00.000,Sediment,,,White Marsh,MD,21162,135485 - BA CO DPW sediment @ Bird River Grove Rd turn-around
"1701 Crownsville Rd, on unpaved Rd onsite",Anne Arundel,Penalty Settlement,Jess Herpel,2020-10-21T00:00:00.000,,Surface Water Discharge Permit,Municipal Minor,,Crownsville,MD,21032,22927 - Summerhill Mobile Home Park WWTP
4455 Northwoods Trail,Carroll,Required Confirmation,Lenn Roberts,2019-04-16T00:00:00.000,2023-01-18T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2389247'},Hampstead,MD,21074,11313 - Hampstead WWTP
Hidden Creek Rd,Calvert,Penalty Settlement,Arno Laud,2013-06-20T00:00:00.000,2013-06-21T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Port Republic,MD,20676,"68778 - Calvert Crossings, LLC"
2700 Emory Road,Carroll,Penalty Settlement,PS-13-1948,2013-06-10T00:00:00.000,2013-08-12T00:00:00.000,Surface Water Discharge Permit,,,Finksburg,MD,21048,2184 - Congoleum Corporation
532 S Division St,Wicomico,Penalty Settlement,PS-14-1966,2013-08-08T00:00:00.000,2013-09-18T00:00:00.000,Sediment,,,Fruitland,MD,21826,131491 - WI Bd of Ed/Bennett MS
"County Wide Sewerage System, Anne Arundel County",Anne Arundel,Penalty Settlement,Arno Laud,2013-08-22T00:00:00.000,2013-08-22T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31396 - Anne Arundel County Sanitary Sewer Overflows
1142 Marine Road,Wicomico,Stipulated Penalty,Patrick Noyes,2018-05-23T00:00:00.000,2018-06-11T00:00:00.000,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Collection System (SSO),,Salisbury,MD,21801,7992 - Salisbury WWTP
Wildewood Pkwy,St. Mary's,Penalty Settlement,,2013-11-06T00:00:00.000,2014-12-22T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,California,MD,20619,65753 - WILDEWOOD RETIREMENT VILLAGE
2300 N Salisbury Blvd,Wicomico,Penalty Settlement,PS-15-2230,2015-03-04T00:00:00.000,2015-03-16T00:00:00.000,Surface Water Discharge Unauthorized,Municipal Minor,,Salisbury,MD,21801,145265 - Centre at Salisbury Mall
8450 Bayside Rd,Calvert,Stipulated Penalty,SP-23-2827,2022-12-05T00:00:00.000,2023-01-18T00:00:00.000,Surface Water Discharge Permit,Municipal Major,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1457209'},Chesapeake Beach,MD,20732,19716 - Chesapeake Beach WWTP
14605 Banks O'Dee Rd,Charles,Penalty Settlement,,2009-08-12T00:00:00.000,2009-08-19T00:00:00.000,Tidal Wetlands,,,Newburg,MD,20664,63812 - Mary Jo and James A. Donohoe III
Ball Rd,Calvert,Settlement Agreement,SA-13-1924,2013-05-15T00:00:00.000,2013-05-15T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Saint Leonard,MD,20685,134742 - August Run Subdivision
"9212 Kensington Pkwy, Tunnel between Tuckerman Lane & Stoneybrook Dr",Montgomery,Settlement Agreement,SA-13-1744,2012-10-12T00:00:00.000,2012-11-13T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,,Chevy Chase,MD,20815,32218 - WSSC - Bi-County Water Main Package Wastewater Treatment Plant
758 East Old Philadelphia Rd,Cecil,Consent Order,CO-13-1868,2013-03-11T00:00:00.000,2014-07-30T00:00:00.000,Sediment,,,Elkton,MD,21921,19069 - Cecil County Central Landfill
1500 S Ponca St,Baltimore City,Penalty Settlement,PS-15-2226,2015-03-04T00:00:00.000,2015-03-20T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Minor,,Highlandtown,MD,21224,167 - GAF Corporation
Edgewood Area-Aberdeen Proving Ground,Harford,Required Confirmation,,,2022-02-10T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Aberdeen Proving Ground,MD,21010,20603 - APG-Edgewood Area
8400 North Point Rd,Baltimore,Penalty Settlement,PS-15-2243,2015-03-31T00:00:00.000,2015-05-11T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Edgemere,MD,21219,141767 - MD DNR-North Point State Battlefield Park
505 Blue Ball Road,Cecil,Penalty Settlement,C-15-2211,2015-01-22T00:00:00.000,2015-02-11T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Elkton,MD,21921,127505 - Triumph Industrial Park
151 Blades Ln,Anne Arundel,Penalty Settlement,PS-14-2097,2014-06-10T00:00:00.000,2014-07-01T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Minor,,Glen Burnie,MD,21061,138575 - Pitt Ohio Express Inc
6825 Winona Place,Charles,Consent Order,COP-14-2104,2014-06-20T00:00:00.000,2016-07-28T00:00:00.000,Groundwater Discharge Permit,Municipal Minor,,Hughesville,MD,20637,31698 - Camp Winona
Public Landing Wharf Road,Worcester,Consent Order,SA-17-2441,2017-03-09T00:00:00.000,2018-06-21T00:00:00.000,Non-Tidal Wetlands;Tidal Wetlands,Industrial Minor,,Snow Hill,MD,21863,137217 - Todd E Burbage Irrevocable Trust
1142 Marine Road,Wicomico,Administrative Order,PS-17-2462,2017-04-20T00:00:00.000,2017-06-21T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Salisbury,MD,21801,7992 - Salisbury WWTP
"11701 Amherst Ave, Bowman's Addition",Allegany,Settlement Agreement,Eisgruber,2013-03-04T00:00:00.000,2014-11-20T00:00:00.000,Sediment;Waterway Construction,,,Cumberland,MD,21502,63964 - Toby Miller
10100 Canadian Way,Prince George's,Penalty Settlement,PS-13-1884,2013-03-13T00:00:00.000,2013-04-17T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Laurel,MD,20708,5030 - WSSC Parkway WRRF
69 Snug Harbor Way,Cecil,,,,2024-09-27T00:00:00.000,Not Assigned,,,Earleville,MD,21913,66036 - David Crothamel
28564 Marlboro Ave,Talbot,Penalty Settlement,PS-16-2321,2015-09-30T00:00:00.000,2015-11-17T00:00:00.000,Sediment,,,Easton,MD,21601,147039 - BJ's Wholesale Club-Waterside Village
CITY OF WESTMINSTER,Carroll,Penalty Settlement,PS-13-1847,2013-02-01T00:00:00.000,2016-09-27T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Westminster,MD,0,78229 - City Of Westminster/sanitary Sewer
21730 Gerards Cove Rd,St. Mary's,Settlement Agreement,,2020-06-20T00:00:00.000,2021-10-21T00:00:00.000,Tidal Wetlands,,,Abell,MD,20606,165129 - Don and Kathy Owens
"Southside of MD Route 50 East, Across from Queenstown Outlet Center",Queen Anne's,Penalty Settlement,,2024-12-13T00:00:00.000,,Not Assigned,,,Queenstown,MD,21658,160609 - Waterman Family Limited Partnership
"County Wide Sewerage System, Anne Arundel County",Anne Arundel,Penalty Settlement,Arno Laud,2013-03-03T00:00:00.000,2013-03-03T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31396 - Anne Arundel County Sanitary Sewer Overflows
9800 Savage Road,Anne Arundel,Penalty Settlement,C-15-2220,2015-02-19T00:00:00.000,2015-03-06T00:00:00.000,Sediment,,,Fort George G. Meade,MD,20755,3944 - National Security Agency
13514 Greensboro Rd (rte 313),Caroline,Penalty Settlement,PS-12-1704,2012-07-31T00:00:00.000,2012-08-15T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Greensboro,MD,21639,23659 - Greensboro WWTP
"Map 33, Parcel 138, Lewis Rd",Worcester,,,,2024-09-23T00:00:00.000,Not Assigned,,,Ocean City,MD,21842,66114 - Violet Rounds
31901 Comtek Lane,Wicomico,Penalty Settlement,PS-13-1711,2012-10-17T00:00:00.000,2012-10-17T00:00:00.000,Sediment,,,Salisbury,MD,21801,131006 - Tri-County Council for Lower Eastern Shore/Multi-Purpose Center
"4 Miles NE of Swanton off Rte 135, 15500 Block Maryland Hwy",Garrett,,,,2024-09-10T00:00:00.000,Not Assigned,,,Swanton,MD,21561,21819 - G & S Coal - Wildman Mine
6221 Ray Norwood Rd,Calvert,Settlement Agreement,Patrick Noyes,2017-11-27T00:00:00.000,2018-03-08T00:00:00.000,Tidal Wetlands,,,Prince Frederick,MD,20678,"118803 - Lavato, Domenic/revetment"
NE of 7300 Airpark Road,Montgomery,Penalty Settlement,PS-16-2309,2015-09-02T00:00:00.000,2015-10-14T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Gaithersburg,MD,20877,137951 - Laytonia Recreational Park
255 Lore Road,Calvert,Penalty Settlement,PS-14-1990,2013-08-22T00:00:00.000,2013-10-01T00:00:00.000,Surface Water Discharge Unauthorized,Municipal Minor,,Solomons,MD,20688,65807 - Supertel Limited Partnership Beacon Marina
Rockawalkin Rd,Wicomico,,,,2024-09-10T00:00:00.000,Not Assigned,,,Salisbury,MD,21801,129786 - Brock Parker Property- Lots 1 & 2 Rockawalkin Rd.
3 Technology Dr,Allegany,Penalty Settlement,PS-14-1975,2013-08-02T00:00:00.000,2013-09-09T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Frostburg,MD,21532,135939 - Allegany Research Properties
11000 Coastal Hwy,Worcester,Penalty Settlement,PS-13-1850,2013-01-18T00:00:00.000,2013-02-20T00:00:00.000,Surface Water Discharge Unauthorized,,,Ocean City,MD,21842,22262 - Capri Condominium
38.212276 -76.401557,St. Mary's,Penalty Settlement,PS-15-2186,2014-12-02T00:00:00.000,2014-12-30T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Lexington Park,MD,20653,142269 - Spring Ridge Middle School Upgrades
County Wide Sewerage System,Kent,Penalty Settlement,"Bull, Kevin",2012-08-16T00:00:00.000,2012-11-06T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31411 - Kent County Sanitary Sewer Overflows
104 S North St,Garrett,Penalty Settlement,Arno Laud,2013-09-23T00:00:00.000,2013-11-12T00:00:00.000,Sediment,,,Accident,MD,21520,140751 - Accident Sanitary Sewer
9307 Coastal Highway,Worcester,Penalty Settlement,Patrick Noyes,2018-05-03T00:00:00.000,2018-06-04T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Stormwater,,Ocean City,MD,21842,155339 - 94th St Sunsations
3893 Crane Road,Calvert,Settlement Agreement,SA-14-2113,2014-07-16T00:00:00.000,2014-09-09T00:00:00.000,Tidal Wetlands,,,Port Republic,MD,20676,134388 - 3893 Crane Road / John M. Gott Jr.
26126 Rewastico Rd,Wicomico,Default Judgement & Show Cause Order,AP-10-1045,2011-04-26T00:00:00.000,2011-04-26T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Hebron,MD,21830,18838 - Hebron WWTP
Severn Orchard Circle,Anne Arundel,,,,2012-03-29T00:00:00.000,Not Assigned,,,Severn,MD,21144,134727 - Severn Orchard Circle
County Wide Sewerage System,Howard,Stipulated Penalty,SP-22-2802,2022-09-09T00:00:00.000,2022-09-26T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31409 - Howard County Sanitary Sewer Overflows
Capitola Road,Wicomico,Administrative Order,SC-O-11-1268,,2013-08-23T00:00:00.000,Not Applicable,,,Tyaskin,MD,21865,132310 - Sharp
Flower Street,Worcester,Penalty Settlement,C-17-2442,2017-03-13T00:00:00.000,2017-04-09T00:00:00.000,Sediment,Industrial Minor,,Berlin,MD,21811,147112 - Cannery Village
County Wide Sewerage System,Baltimore,Stipulated Penalty,Jess Herpel,2020-07-29T00:00:00.000,2020-09-10T00:00:00.000,Surface Water Discharge Unauthorized,Municipal Major,,County-wide,MD,0,31394 - Baltimore County Sanitary Sewer Overflows
12617 Seavolt Rd,Washington,Consent Order,COP-12-1428,2011-08-05T00:00:00.000,2016-09-13T00:00:00.000,Surface Water Discharge Permit,,,Hancock,MD,21750,19714 - Happy Hills Campground
1640 Professional blvd,Anne Arundel,Stipulated Penalty,CO-12-1581,2013-09-17T00:00:00.000,2017-11-22T00:00:00.000,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Collection System (SSO),,Crofton,MD,21114,10400 - Patuxent Water Reclamation Facility
4300 Shannon Dr.,Baltimore City,Stipulated Penalty,SP-22-2753,2021-10-20T00:00:00.000,2024-10-15T00:00:00.000,Sediment;Stormwater Management,Industrial Stormwater,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2727877'},Baltimore,MD,21213,"31284 - P & J Contracting Company, Inc."
887 Patterson Ave,Allegany,Settlement Agreement,SAP-13-1756,2012-09-14T00:00:00.000,2012-09-25T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Cumberland,MD,21502,135523 - Davy
"10546 Harp Rd, Pank Farm LLC",Frederick,Consent Order,AP-16-2368,2015-12-11T00:00:00.000,2016-07-05T00:00:00.000,Notice of Intent;Sediment;Surface Water Discharge Unauthorized,Notice of Intent (Construction),,Walkersville,MD,21793,145415 - Pank Property
218 Mount Zoar Rd,Cecil,Consent Order,COP-15-2156,2014-12-03T00:00:00.000,2017-12-07T00:00:00.000,Groundwater Discharge Permit;Groundwater Discharge Unauthorized,Municipal Minor,,Conowingo,MD,21918,23647 - Maybelle Manor Moblie Home Park
5420 Linkwood Road,Dorchester,Penalty Settlement,Patrick Noyes,2019-04-30T00:00:00.000,2019-05-16T00:00:00.000,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Industrial Minor,,Linkwood,MD,21835,"6191 - Darling Ingredients, Inc. - Linkwood"
800 Tydings Lane,Harford,Offer to Settle,CO-19-2580,2021-04-26T00:00:00.000,2022-05-20T00:00:00.000,Groundwater Discharge Permit,Municipal Minor,,Havre De Grace,MD,21078,503 - Father Martin's Ashley
11700 N Keys Rd,Prince George's,Penalty Settlement,Joe Bieberich,2017-05-09T00:00:00.000,2017-05-12T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Minor,,Brandywine,MD,20613,22933 - GenON MD Ash Management LLC Brandywine
1000 Kembo Road,Anne Arundel,Settlement Agreement,SA-13-1869,2013-02-25T00:00:00.000,2013-04-08T00:00:00.000,Non-Tidal Wetlands;Notice of Intent;Sediment;Surface Water Discharge Unauthorized,Notice of Intent (Construction),,Curtis Bay,MD,21226,"66231 - Bronson Contracting, Inc"
"Centre Drive, Parcel F",Wicomico,Amended Complaint & Penalty,AP-13-1802,2013-05-07T00:00:00.000,2013-07-12T00:00:00.000,Sediment,,,Salisbury,MD,21804,134605 - Centre at Salisbury Mall Stormwater Pond Retrofit
1202 National Hwy,Allegany,Penalty Settlement,C-13-1754,2012-09-14T00:00:00.000,2012-12-19T00:00:00.000,Sediment,,,LaVale,MD,21502,88791 - CVS Pharmacy #5728
Liberty Grove Rd.,Cecil,Required Confirmation,SC-O-11-1278,,2012-08-27T00:00:00.000,Not Applicable,,,Colora,MD,21917,131977 - Murphy's Run Phase I
300 Skipjack Rd,Calvert,Settlement Agreement,SAP-14-2100,2014-07-15T00:00:00.000,2014-07-11T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Prince Frederick,MD,20678,20253 - Calvert County Industrial Park WWTP
3904 Old Silver Hill Road,Prince George's,,,,2024-09-17T00:00:00.000,Not Assigned,,,Suitland,MD,20746,34 - Smithsonian Paul E Garber Facility
115 W Locust St,Carroll,Penalty Settlement,PS-15-2179,2014-10-09T00:00:00.000,2014-11-21T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Union Bridge,MD,21791,21850 - Union Bridge WWTP
1211 Lake Ridge Drive,Calvert,Settlement Agreement,C-18-2481,2017-08-16T00:00:00.000,2019-07-24T00:00:00.000,Non-Tidal Wetlands;Sediment,,,Sunderland,MD,20689,143857 - 1211 Lake Ridge Drive / Thomas Joseph Cable
"12402 Crestwood Ave, South",Prince George's,Administrative Order,PS-16-2374,2016-03-03T00:00:00.000,2016-03-17T00:00:00.000,Surface Water Discharge Unauthorized,Municipal Minor,,Brandywine,MD,20613,"97509 - F & F Landscaping, Inc"
"19514 Dickerson Hollow Rd, 19800 Dickerson Hollow Rd, ~20114 Dickerson Hollow Rd",Allegany,Settlement Agreement,SAP-13-1843,2013-02-25T00:00:00.000,2013-03-20T00:00:00.000,Non-Tidal Wetlands;Sediment;Waterway Construction,,,Flintstone,MD,21530,137785 - 1127 Darrell Lambert
7610 Shirley Boulevard,Charles,Settlement Agreement,Eisgruber,2012-12-21T00:00:00.000,2013-08-26T00:00:00.000,Notice of Intent;Surface Water Discharge Permit;Tidal Wetlands,Industrial Minor,,Port Tobacco,MD,20677,"111958 - Mona, Scott/port Tobacco Marina/dredging"
"1301 Raincliffe Rd, 39.362641 -76.947495",Carroll,Stipulated Penalty,Jessica Herpel,2019-11-13T00:00:00.000,2019-12-17T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Sykesville,MD,21784,142548 - Freedom District WWTP ENR Upgrades
11050 Crain Hwy,Charles,"Complaint, Order, Penalty",AOP-13-1903,2013-05-22T00:00:00.000,2013-11-05T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Newburg,MD,20664,21865 - Thunderbird Motel WWTP
15077 Potomac River Drive,Charles,,ACO-20-2617,2019-09-17T00:00:00.000,2023-01-23T00:00:00.000,Tidal Wetlands,,,Cobb Island,MD,20625,143786 - Brian Smith
Owings Mills M and R Station to Rutledge Compresser Station,Baltimore,Penalty Settlement,C-16-2359,2016-01-06T00:00:00.000,2016-02-16T00:00:00.000,Sediment,,,Owings Mills,MD,21117,138964 - Columbia Gas Transmission-Line MB Extension-Owings Mills to Fallston
1816 Park Beach Dr,Harford,Consent Order,,2009-06-10T00:00:00.000,2009-07-09T00:00:00.000,Tidal Wetlands,,,Aberdeen,MD,21001,"63961 - 1816 Park Beach Drive,Seamon Property"
2021 Indian Circle,Calvert,Penalty Settlement,PS-14-2053,2014-01-29T00:00:00.000,2014-02-05T00:00:00.000,Tidal Wetlands,,,Saint Leonard,MD,20685,128427 - Gary Salisbury and Elizabeth Hight
3714 Gardendale Drive,Wicomico,Settlement Agreement,PS-12-1654,2012-07-12T00:00:00.000,2013-07-13T00:00:00.000,Non-Tidal Wetlands,,,Eden,MD,21822,135871 - NTW vegetation disturbance and removal
